《【2018-01-21 13:49:30.585212《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {}《】
《【2018-01-21 13:49:30.588359《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {}《】
《【2018-01-21 13:50:41.282144《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {}《】
《【2018-01-21 13:50:41.286285《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {}《】
《【2018-01-21 13:50:59.671712《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {}《】
《【2018-01-21 13:50:59.674953《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {}《】
《【2018-01-21 14:12:44.590236《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': '123', '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '321'}《】
《【2018-01-21 14:12:44.678537《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': '123', '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '321'}《】
《【2018-01-21 14:13:17.766119《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': None}《】
《【2018-01-21 14:13:17.823150《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': None}《】
《【2018-01-21 14:22:21.456335《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '123'}《】
《【2018-01-21 14:22:21.504017《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '123'}《】
《【2018-01-21 14:23:07.480706《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '123'}《】
《【2018-01-21 14:23:07.530173《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '123'}《】
《【2018-01-21 14:23:36.751134《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': None}《】
《【2018-01-21 14:23:36.782481《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': None}《】
《【2018-01-21 14:28:13.064185《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '123'}《】
《【2018-01-21 14:28:13.103671《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '123'}《】
《【2018-01-21 14:29:48.981961《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': None}《】
《【2018-01-21 14:29:49.014599《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': None}《】
《【2018-01-21 14:31:16.447074《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '123'}《】
《【2018-01-21 14:31:16.502669《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': '123'}《】
《【2018-01-21 14:31:30.580913《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': None}《】
《【2018-01-21 14:31:30.633542《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': 1, '单位名称': '青岛世园新城镇开发投资有限公司', '单位类别': '房地产开发商', '单位性质': '国有', '法定代表人': '姜民秀', '注册资金': 200000000, '单位资质': '房地产开发三级', '银行账号': None, '联系人': '顾翔', '联系方式': '0532-58703628', '单位备注': None}《】
《【2018-01-21 14:46:31.364040《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': None, '单位名称': '青岛机场集团有限公司', '单位类别': '其他', '单位性质': '国有企业', '法定代表人': None, '注册资金': None, '单位资质': None, '银行账号': None, '联系人': None, '联系方式': None, '单位备注': None}《】
《【2018-01-21 14:46:31.409782《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': None, '单位名称': '青岛机场集团有限公司', '单位类别': '其他', '单位性质': '国有企业', '法定代表人': None, '注册资金': None, '单位资质': None, '银行账号': None, '联系人': None, '联系方式': None, '单位备注': None}《】
《【2018-01-21 14:50:21.645282《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': None, '单位名称': '青岛城发集团有限公司', '单位类别': '房地产开发', '单位性质': '国有企业', '法定代表人': None, '注册资金': None, '单位资质': None, '银行账号': None, '联系人': None, '联系方式': None, '单位备注': None}《】
《【2018-01-21 14:50:21.688506《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Success to 单位: {'单位识别码': None, '单位名称': '青岛城发集团有限公司', '单位类别': '房地产开发', '单位性质': '国有企业', '法定代表人': None, '注册资金': None, '单位资质': None, '银行账号': None, '联系人': None, '联系方式': None, '单位备注': None}《】
《【2018-01-21 14:54:15.719361《】《【127.0.0.1《】《【guxiang《】《【ajax_save_data《】《【Try to 单位: {'单位识别码': 70, '单位名称': '青岛世园发展有限公司', '单位类别': '不务正业', '单位性质': '国有企业', '法定代表人': '孙卫东', '注册资金': None, '单位资质': None, '银行账号': None, '联系人': None, '联系方式': None, '单位备注': None}《】
